organization,repos_with_actions,time_of_data_collection
google,truth; namebench; dagger; traceur-compiler; vector_math.dart; auto; go-github; pinject; paco; uri.dart; protobuf.dart; data-layer-helper; carfac; webdriver.dart; quiver-dart; closure-library; compile-testing; go-querystring; grinder.dart; capsicum-test; jimfs; blockly; liquidfun; grr; vim-maktaba; vim-glaive; benchmark,09/05/2024 10:20:03
github,version_sorter; markup; dmca; email_reply_parser; maven-plugins; gemoji; elastomer-client; secure_headers; platform-samples; omniauth; choosealicense.com; ruby; pages-gem; government.github.com; training-kit; scientist,09/05/2024 10:20:03
TheAlgorithms,Python; C; C-Plus-Plus; Scala; Java; Ruby; C-Sharp; Go; JavaScript; Algorithms-Explanation; MATLAB-Octave; Rust; R; Kotlin; Dart; Elm; Jupyter; Haskell; Swift; PHP; OCaml; F-Sharp; algorithms-keeper; website; AArch64_Assembly; Clojure; scripts; Julia; Lua; Solidity; TypeScript; Zig; Nim; Jule,09/05/2024 10:20:03
huggingface,transformers; pytorch-image-models; tokenizers; blog; datasets; trl; widgets-server; spm_precompiled; accelerate; autotrain-advanced; huggingface_hub; api-inference-community; collaborative-training-auth; hf_benchmarks; optimum; data-measurements-tool; dataset-viewer; course; doc-builder; workshops; optimum-graphcore; huggingface_sb3; optimum-habana; hub-docs; evaluate; model-evaluator; ml-agents; simulate; deep-rl-class; optimum-intel; diffusers; setfit; hffs; hf-endpoints-documentation; safetensors,09/05/2024 10:20:03
freeCodeCamp,devdocs; freeCodeCamp; scripts; 100DaysOfCode-twitter-bot; CurriculumExpansion; design-style-guide; how-to-contribute-to-open-source; fcc-express-bground-pkg; testable-projects-fcc; boilerplate-advancednode; boilerplate-bcrypt; boilerplate-npm; boilerplate-express; boilerplate-mongomongoose; boilerplate-infosec; boilerplate-mochachai; boilerplate-project-timestamp; boilerplate-project-headerparser; boilerplate-project-urlshortener; boilerplate-project-filemetadata; boilerplate-project-exercisetracker; boilerplate-project-library; boilerplate-project-metricimpconverter; boilerplate-project-messageboard; boilerplate-project-issuetracker; boilerplate-project-stockchecker; loopback-component-passport; store.js; react-notification; auth0-config; cdn,09/05/2024 10:20:03
facebook,hhvm; facebook-android-sdk; facebook-ios-sdk; folly; watchman; rocksdb; chef-utils; buck; react; fbthrift; regenerator; mcrouter; IT-CPE; Haxl; yoga; facebook-php-business-sdk; jsx; facebook-python-business-sdk; grocery-delivery; taste-tester; between-meals; fatal; proxygen; flow; wangle; react-native; zstd; infer; ThreatExchange; facebook-ruby-business-sdk; fresco; jscodeshift; openbmc; PathPicker; fbjs; relay; idb; SoLoader; facebook-java-business-sdk; chef-cookbooks; redex; FBRetainCycleDetector; sapling; create-react-app; TextLayoutBuilder; prophet; metro; litho; duckling; prop-types; docusaurus; facebook-nodejs-business-sdk; openr; react-native-website; pyre-check; mvfst; flipper; SPARTA; fbt; TestSlide; hermes; Rapid; Ax; ktfmt; ristretto255-js; CacheLib; usort; time; opaque-ke; mariana-trench; lexical; sapp; starlark-rust; OpenBIC; winterfell,09/05/2024 10:20:03
python,pythondotorg; mypy; peps; psf-salt; typing; typeshed; typed_ast; the-knights-who-say-ni; devguide; pyperformance; release-tools; core-workflow; buildmaster-config; cpython; bedevere; cpython-source-deps; cpython-bin-deps; python-docs-fr; python-docs-theme; python-docs-ja; python-docs-pt-br; miss-islington; python-docs-zh-tw; blurb_it; python-docs-zh-cn; mypy_extensions; steering-council; codespeed; python-docs-es; cherry-picker; python-docs-pl; tzdata; pythoncapi-compat; importlib_resources; importlib_metadata; docs-community; python-docs-tr; typing_extensions; python-docs-uk; blurb,09/05/2024 10:20:03
ReVanced,revanced-integrations; revanced-patcher; revanced-manager; revanced-patches-template; revanced-cli; aapt2; revanced-discord-bot; revanced-website; revanced-manager-compose-old; revanced-releases-api; revanced-cdn-action; revanced-documentation; revanced-helper; smali; Apktool; revanced-manager-compose; revanced-polling-api; revanced-static-api; revanced-api; GmsCore; revanced-library; revanced-patches; revanced-app-metadata-api,09/05/2024 10:20:03
flutter,flutter; engine; website; cocoon; flutter-intellij; buildroot; assets-for-api-docs; plugins; packages; goldens; samples; codelabs; devtools; platform_tests; tests; gallery; flutter-github-scripts.dart; tools_metadata; uxr; photobooth; put-flutter-to-work; pinball; news_toolkit; holobooth; io_flip; super_dash; games,09/05/2024 10:20:03
vuejs,vue; vue-router; devtools; vue-loader; vuex; awesome-vue; vuefire; rollup-plugin-vue; eslint-plugin-vue; apollo; vetur; vue-eslint-parser; vue-jest; vuepress; core; router; composition-api; eslint-config-typescript; pinia; docs,09/05/2024 10:20:03
vercel,ms; micro; test-listen; async-retry; uid-promise; react-keyframes; serve; hyper; pkg; pkg-fetch; vercel; next.js; styled-jsx; micro-dev; arg; fetch-retry; fetch-cached-dns; fetch; title; serve-handler; schemas; cosmosdb-server; cosmosdb-query; ncc; webpack-asset-relocator-loader; fun; async-listen; tracing-js; actions; nft; swr; next-learn; commerce; gatsby-plugin-vercel; turbo; examples,09/05/2024 10:20:03
tensorflow,tensorflow; serving; rust; models; playground; benchmarks; ecosystem; haskell; fold; transform; tensorboard; tensor2tensor; nmt; metadata; tpu; lattice; probability; lucid; kfac; profiler-ui; tfjs; tfjs-website; tfjs-examples; hub; model-analysis; tfjs-models; docs; swift-models; swift-bindings; community; adanet; data-validation; tcav; examples; lingvo; estimator; datasets; mesh; custom-op; model-optimization; networking; io; tensorrt; agents; addons; ranking; federated; privacy; graphics; tfx; swift-apis; ngraph-bridge; autograph; gan; tfjs-wechat; text; tfx-bsl; neural-structured-learning; java; java-models; fairness-indicators; build; docs-l10n; quantum; cloud; profiler; runtime; tflite-support; similarity; recommenders; tfhub.dev; mlir-hlo; model-card-toolkit; model-remediation; recommenders-addons; tfx-addons; java-ndarray; tflite-micro; tflite-micro-arduino-examples; decision-forests,09/05/2024 10:20:03
dotnet,cecil; BenchmarkDotNet; efcore; aspnetcore; Open-XML-SDK; Docker.DotNet; core; orleans; AspNetCore.Docs; fsharp; ClangSharp; LLVMSharp; extensions; msbuild; runtime-assets; docs; EntityFramework.Docs; roslyn-analyzers; docfx; Nerdbank.Streams; vscode-csharp; project-system; roslynator; DataGridExtensions; templating; sdk; aspnet-api-versioning; WatsonWebserver; csharp-tmLanguage; MQTTnet,09/05/2024 10:20:03
apache,apr; zookeeper; lucenenet; spamassassin; directory-studio; maven-wagon; httpd; camel; xmlgraphics-fop; maven-scm; maven-release; maven-enforcer; synapse; cayenne; commons-collections; openjpa; mina; poi; nutch; commons-codec; commons-lang; xmlgraphics-commons; commons-io; httpcomponents-core; maven-doxia-sitetools; httpcomponents-client; wicket; couchdb; maven-plugin-testing; tika; directory-server; maven-jxr; hive; xmlgraphics-batik; roller; avro; maven-doxia; maven; maven-archetype; maven-plugin-tools; commons-logging; commons-cli; servicemix-maven-plugins,09/05/2024 10:20:03
cs50,libcs50; php-cs50; render50; server; libcs50-java; cli; submit50; python-cs50; cli50; check50; help.cs50.net; compare50; style50; check; sandbox; ide; mysql; lib50; draw.cs50.io; jekyll-theme-cs50; publish50-electron,09/05/2024 10:20:03
twitter,twurl; finagle; opensource-website; util; scrooge; hogan.js; scalding; finatra; twemproxy; twitter-cldr-rb; twitter-cldr-js; algebird; twitter-cldr-npm; chill; bijection; typeahead.js; twitter-server; scala_school2; zktraffic; SentenTree; twemoji; labella.js; pelikan; ccommon; rpc-perf; scoot; dodo; metrics; gatekeeper-service; caladrius; twemoji-parser; sqrl; rezolus; rustcommon; dict_minimize; bazel-multiversion; TwitterTextEditor; ios-twitter-apache-thrift; check-my-repo; communitynotes; dodo-build; compose-rules; diffusion-rl; focus; the-algorithm-ml,09/05/2024 10:20:03
